labels,Reviews,Backtranslated_Reviews_Google_fr
negative,एंडराॅयड के मामले में यह थोड़ा पीछे है ।,यह Android के मामले में थोड़ा पीछे है।
neutral,यह एस्पेक्ट रेशो का ईश्यू है और हम आशा करते हैं कि यह आने वाले अपडेट में फिक्स कर दिया जाएगा ।,यह पहलू अनुपात का मुद्दा है और हमें उम्मीद है कि इसे आगामी अपडेट में तय किया जाएगा।
positive,लेकिन इस तरह के एक मॉडल के एक घर कंप्यूटर के लिए एक शानदार विकल्प हो सकता है ।,लेकिन इस तरह के मॉडल का एक घर कंप्यूटर के लिए एक बढ़िया विकल्प हो सकता है।
positive,गिर वन राष्ट्रीय उद्यान बाघ संरक्षित क्षेत्र है जो एशियाई बब्बर शेर के लिए विश्व प्रसिद्ध है ।,गिर फॉरेस्ट नेशनल पार्क एक टाइगर संरक्षित क्षेत्र है जो एशियाई बब्बर शेर के लिए विश्व प्रसिद्ध है।
neutral,"और हां , इस फिल्म में हर किरदार भारद्वाज को भरद्वाज क्यों बुलाता है ?","और हाँ, इस फिल्म में हर किरदार भारद्वाज भारद्वाज को क्यों कहता है?"
positive,फोन उपयोग में बेहद ही आसान है और टच रिस्पॉरन्स उतना ही बेहतर ।,फोन का उपयोग करना बहुत आसान है और टच प्रतिक्रिया समान रूप से बेहतर है।
positive,डिजिफलीप प्रो टेबलेट् अपने वर्ग में सर्वोत्तम है ।,Digifleep प्रो टैबलेट अपनी श्रेणी में सबसे अच्छा है।
negative,"युवाओं के लिए यह फोन कमजोर रैम के कारण बहुत ज्यादा उपयुक्त नहीं है , मध्यमवर्गीय और 25 साल से अधिक आयु के कामकाजी लोग , गृहिणियां यां स्कूली छात्र चाहें तो इसे अपने पहले मोबाईल फोन के तौर पर आजमा सकते हैं ।","युवाओं के लिए, यह फोन कमजोर रैम, मध्यम वर्ग और 25 साल से अधिक उम्र के कामकाजी लोगों के कारण बहुत उपयुक्त नहीं है, गृहिणियों, गृहिणियों या स्कूल के छात्रों, इसे अपने पहले मोबाइल फोन के रूप में आज़मा सकते हैं।"
neutral,पेरिस्कोप के एंड्रॉयड वर्जन में कुछ ऎसे यूनिक फीचर्स भी हैं दिए गए हैं जो आईओएस में नहीं दिए गए थे ।,पेरिस्कोप के एंड्रॉइड संस्करण में कुछ अनूठी विशेषताएं भी हैं जो आईओएस में नहीं दी गई थीं।
neutral,वनों की विलक्षण वनस्पति तथा हरे घास के मैदानों के बीच यहां नीलकुरंजी नामक फूल पाया जाता है ।,नीलकुरजी नामक एक फूल यहां जंगलों और हरे घास के मैदानों की अनूठी वनस्पति के बीच पाया जाता है।
positive,"इस टेबलेट की कॉल करने की क्षमता अच्छी है , और इसकी आवाज़ की क्वालिटी भी बढ़िया है ।","इस टैबलेट की कॉल करने की क्षमता अच्छी है, और इसकी आवाज की गुणवत्ता भी अच्छी है।"
positive,इसमें 5.5 इंच का एचडी डिस्पले स्क्रीन अल्ट्रा वाइड व्यूइंग एंगल के साथ दी गई है जिससे पिक्चर्स बेहतर क्वालिटी में दिखती है ।,"इसमें अल्ट्रा वाइड देखने वाले कोण के साथ 5.5 -इंच एचडी डिस्प्ले स्क्रीन है, जो चित्र को बेहतर गुणवत्ता बनाता है।"
