Reviews,labels
एंड्रॉइड के मामले में थोड़ी देर हो चुकी है।,negative
यह पहलू अनुपात का सवाल है और हमें उम्मीद है कि इसे अगले अपडेट में तय किया जाएगा।,neutral
लेकिन इस तरह के मॉडल का एक घर कंप्यूटर के लिए एक बढ़िया विकल्प हो सकता है।,positive
गिर वन राष्ट्रीय उद्यान टाइगर्स द्वारा संरक्षित एक क्षेत्र है जो एशियाई बब्बर शेर के लिए विश्व -न्हे है।,positive
"और हाँ, इस फिल्म में हर किरदार भारद्वज भारद्वाज को क्यों कहता है?",neutral
फोन का उपयोग करना बहुत आसान है और टच प्रतिक्रिया बस के रूप में बेहतर है।,positive
डिजीफ्लेप प्रो टैबलेट अपनी श्रेणी में सबसे अच्छा है।,positive
"युवा लोगों के लिए, यह फोन कम रैम, मध्यम वर्ग और 25 साल से अधिक उम्र के श्रमिकों के कारण बहुत उपयुक्त नहीं है, गृहिणियां या छात्र, इसे पहले मोबाइल फोन के रूप में आज़मा सकते हैं।",negative
पेरिस्कोप के एंड्रॉइड संस्करण में भी अनूठी विशेषताएं हैं जो आईओएस में नहीं दी गई हैं।,neutral
नीलकुरजी नामक एक फूल यहां जंगलों की अनूठी वनस्पति और हरे रंग की घास के मैदानों के बीच है।,neutral
कॉल करने के लिए इस टैबलेट की क्षमता अच्छी है और इसकी आवाज की गुणवत्ता भी अच्छी है।,positive
"इसमें अल्ट्रा -वाइड व्यूइंग एंगल के साथ 5.5 इंच की एचडी डिस्प्ले स्क्रीन है, जो बेहतर गुणवत्ता की छवि बनाता है।",positive
इस फिल्म में शोनाली की उपस्थिति विचार और समझ के स्तर पर है।,positive
"जैसा कि मैंने पहले कहा, प्रोसेसर गेम खेलने और पूरी तरह से आरामदायक वीडियो खेलने में सक्षम नहीं है।",negative
"इस पार्क में असम में ब्रह्मपुत्र नदी के तट पर स्थित, साथ ही गैंडे, चीता, बाघ, हिरण, डॉल्फ़िन, सांबर, आदि।दिखाई देते हैं।",neutral
"टेलीफोन में इस प्रकार के कई अन्य एप्लिकेशन हैं, जिनमें पोलारिस ऑफिस एप्लिकेशन भी शामिल है जो आपको दैनिक ऑपरेशन में मदद करेगा।",positive
"इन सभी चीजों को ""एवेंजर्स: एज ऑफ अल्ट्रॉन"" में देखा जाता है।",neutral
"माइक्रो एसडी कार्ड के अलावा, दो सिम कार्ड भी फोन में डाला जा सकता है।",neutral
इसका 13 मेगापिक्सेल कैमरा जो इस डिवाइस का नायक है।,positive
इस टैबलेट में फ्लैश की अनुपस्थिति भी इसके लिए एक कारण का कारण बनती है।,negative
"इसके अलावा, आप केवल उन सूचनाओं को देख सकते हैं जो वहां पहुंचती हैं, इसका जवाब नहीं दे सकते।",neutral
"थोड़ा छोटा है, लेकिन इतना छोटा नहीं है कि उन्हें कोई समस्या है।",neutral
आंध्र प्रदेश की राजधानी हैदराबाद में चार्मिनर सबसे प्रसिद्ध और महत्वपूर्ण स्मारक है।,positive
"कुल मिलाकर, टैबलेट देखने में ठोस लगता है, जबकि स्क्रीन के चारों ओर राहत मंच स्क्रीन पर किसी भी प्रकार के सक्रियण को रोक देगा और इसे एक निश्चित सीमा तक भी बचाएगा।",positive
"अच्छी सेल्फी के अलावा, वीडियो कॉल भी किए जा सकते हैं।",positive
"कुल मिलाकर, G3 स्टाइलस के प्रदर्शन को अच्छा नहीं कहा जा सकता है।",negative
"सबसे महत्वपूर्ण बात डिजाइन और उपस्थिति के संदर्भ में है, यह लेनोवो Z580 से बहुत आगे है, इसे निश्चित रूप से एक बेहतर विकल्प कहा जा सकता है।",positive
"इसकी अनुपस्थिति यह है कि उसकी त्वचा की सराहना नहीं की जा सकती है, उसका कैमरा सरल है और वह एंड्रॉइड 4.1 जेली बीन ऑपरेटिंग सिस्टम पर काम करता है।",negative
यह त्योहार कश्मीरी में पर्यटन को बढ़ावा देने में बहुत योगदान देता है।,positive
मानसून के मौसम के दौरान फूल राष्ट्रीय उद्यान परिदृश्य की घाटी आश्चर्यजनक रूप से जीवित है।,positive
"इसके अलावा, उसके पास एक YFI तकनीक और एक कुंजी है ताकि यह स्मार्टफोन या टैबलेट से जुड़ा हो।",positive
यह टैबलेट एंड्रॉइड 4.4 किटकैट के साथ दिया जाता है।,neutral
"इसका मतलब है कि केबल द्वारा, आप कंप्यूटर से गाने या क्लिप ट्रांसफर नहीं कर सकते, आदि।",negative
इसमें एक इलेक्ट्रॉनिक कंट्रोल पैनल भी है।,neutral
नए 15 -इंच Apple लैपटॉप में आंतरिक 16 GB मेमोरी के साथ 2.2 GHz इंटेल पर एक इंटेल कोर प्रोसेसर है।,neutral
"मोटी और भारी होने के बावजूद, यह स्मार्टफोन एक शानदार उपस्थिति और बेहतर डिजाइन है।",positive
"इसका 10.1 इंच डिस्प्ले रिज़ॉल्यूशन 1920 x 1200 पिक्सेल है, जो इसे 224 पीपीआई का पिक्सेल घनत्व देता है।",neutral
"इन किटों के तहत, फिल्म निर्माता और एनिमेटर अपने स्वयं के फोटो और फिल्मों को उनके अनुसार संशोधित कर सकते हैं।",neutral
"अलग -अलग खेल क्षेत्र हैं जैसे कि इसका आविष्कार करना, इसे बनाना, इसे बनाना, इसे जीना, इसकी खोज करना, इसे खोजना, इसे छपाना।",neutral
